sku,Barcode,name,qty
BOTT-LITT-009F,2704872311002050,Little Baby Milk Case 4x80ml Blue,0
TOIL-LITT-001A,2704872311013686,Little Baby Box 3 in 1 Orange,0
TOIL-LITT-001B,2704872311013687,Little Baby Box 3 in 1 Yellow,0
TOIL-LITT-001C,2704872311013688,Little Baby Box 3 in 1 Green,0
TOIL-LITT-001D,2704872311013689,Little Baby Box 3 in 1 Blue,0
BOTT-LITT-012D,2704872311002065,Little Baby Bottle & Nipple Brush Yellow (isi 2),0
BOTT-LITT-012E,2704872311002066,Little Baby Bottle & Nipple Brush Green (Isi 2),0
BOTT-LITT-012F,2704872311002067,Little Baby Bottle & Nipple Brush Blue (Isi 2),0
BOTT-LITT-012H,2704872311002068,Little Baby Bottle & Nipple Brush Green (Isi 3),-2
BOTT-LITT-012I,2704872311002069,Little Baby Bottle & Nipple Brush Blue (Isi 3),0
BOTT-LITT-011G,2704872311002061,Little Baby Sterilization Tongs Green,0
SEAT-APRI-003A,2704872311011765,Aprica Car Seat Fladea Black,0
SEAT-APRI-003C,2704872311011767,Aprica Car Seat Fladea Beige,0
PACI-BROW-009B,2704872311010532,"Dr. Brown's ""Orthees"" Transition Teether 3m+ Blue",18
BREA-LITT-001A,2704872311002601,Little Baby Ice Gel Pack,0
FEED-AVEN-001A,2704872311008345,Philips Avent Travel Feeding Set 6m+ Orange,0
BREA-AVEN-001A,2704872311002592,Philips Avent Breast Shell,0
PACI-AVEN-004A,2704872311010461,Philips Avent Orthodontic Soother 0-6m Night Time Blue  (Isi 2),0
PACI-AVEN-004B,2704872311010462,Philips Avent Orthodontic Soother 0-6m Night Time Yellow (Isi 2),14
PACI-AVEN-001C,2704872311010449,Philips Avent Orthodontic Soother 0-6m Classic Blue Green (Isi 2),0
PACI-AVEN-001D,2704872311010450,Philips Avent Orthodontic Soother 0-6m Classic White Pink (Isi 2),0
PACI-AVEN-005A,2704872311010463,Philips Avent Soothers 6-18M Night Time Blue Star (Isi 2),-2
PROF-AMAN-007A,2704872311011501,AmanBayiku Stove Knob Cover,60
PROF-AMAN-008A,2704872311011502,AmanBayiku Edge Cushion Guard Brown,12
